eval,a_median,a_q25,a_q75,b_median,b_q25,b_q75,c_median,c_q25,c_q75,d_median,d_q25,d_q75
59,29.69838549304915,28.32027652777549,31.7947682442511,30.34378265321301,28.62555172601048,31.443635801893755,29.934213083174555,28.17057719278027,31.0033540815351,29.329440500401883,28.170387558253775,31.237850069166115
60,29.69838549304915,28.32027652777549,31.7947682442511,30.34378265321301,28.62555172601048,31.443635801893755,29.934213083174555,28.17057719278027,31.0033540815351,29.329440500401883,28.170387558253775,31.237850069166115
61,29.69838549304915,28.32027652777549,31.7947682442511,30.34378265321301,28.62555172601048,31.443635801893755,29.934213083174555,28.17057719278027,31.0033540815351,29.329440500401883,28.170387558253775,31.237850069166115
62,29.69838549304915,28.32027652777549,31.7947682442511,30.34378265321301,28.62555172601048,31.443635801893755,29.934213083174555,28.17057719278027,31.0033540815351,29.329440500401883,28.170387558253775,31.237850069166115
63,29.69838549304915,28.32027652777549,31.7947682442511,30.34378265321301,28.62555172601048,31.443635801893755,29.934213083174555,28.17057719278027,31.0033540815351,29.18894613997297,28.170387558253775,31.157461414126384
64,29.69838549304915,28.32027652777549,31.7947682442511,30.34378265321301,28.62555172601048,31.443635801893755,29.922708709517607,28.17057719278027,30.888565537998435,29.18894613997297,28.170387558253775,31.157461414126384
65,29.69838549304915,28.32027652777549,31.7947682442511,30.238369946601402,28.62555172601048,31.24502963681446,29.922708709517607,28.17057719278027,30.888565537998435,29.18894613997297,28.130963143384747,31.157461414126384
66,29.69838549304915,28.32027652777549,31.7947682442511,30.238369946601402,28.62555172601048,31.24502963681446,29.922708709517607,28.17057719278027,30.888565537998435,29.18894613997297,28.130963143384747,31.157461414126384
67,29.69838549304915,28.32027652777549,31.442830652604407,30.238369946601402,28.62555172601048,31.24502963681446,29.922708709517607,28.17057719278027,30.888565537998435,29.112667534595325,27.99981204037985,31.157461414126384
68,29.69838549304915,28.32027652777549,31.442830652604407,30.238369946601402,28.527276576059293,31.24502963681446,29.73108124233653,28.17057719278027,30.576870101121752,29.112667534595325,27.99981204037985,31.157461414126384
69,29.69838549304915,28.32027652777549,31.442830652604407,30.238369946601402,28.527276576059293,31.24502963681446,29.73108124233653,28.17057719278027,30.576870101121752,29.083114310943273,27.99981204037985,30.969032738862033
70,29.69838549304915,28.32027652777549,31.442830652604407,30.238369946601402,28.527276576059293,31.24502963681446,29.652536934764214,28.17057719278027,30.576870101121752,29.083114310943273,27.99981204037985,30.969032738862033
