algorithm,n,seed,nodes_expanded,backtracks,constraint_checks,repair_steps,runtime_seconds,objective,num_assigned,num_unassigned,failure_rate,success,hit_step_budget,budget_s,censored
bt_mrv,30,101,511561,511534,511561,0,5.000020661000008,1354.8278279307542,27,3,0.1,False,False,5.0,True
bt_mrv,30,202,529146,529120,529146,0,5.000010801999906,1174.9783567113905,26,4,0.13333333333333333,False,False,5.0,True
bt_mrv,30,303,469824,469795,469824,0,5.000023198000008,848.9969630163907,29,1,0.03333333333333333,False,False,5.0,True
bt_mrv,30,404,364794,364767,364794,0,5.0000144990001445,794.0424146888656,27,3,0.1,False,False,5.0,True
bt_mrv,30,505,333979,333950,333979,0,5.0000252289999025,553.1862148644881,29,1,0.03333333333333333,False,False,5.0,True
bt_mrv,40,7,18,18,18,0,0.0006651749999946333,7482.48916066721,4,36,0.9,False,False,5.0,False
bt_mrv,40,13,372234,372198,372234,0,5.000023990000045,1611.375604774812,36,4,0.1,False,False,5.0,True
bt_mrv,40,42,384613,384577,384613,0,5.00002189199995,1415.175546769601,36,4,0.1,False,False,5.0,True
bt_mrv,40,101,885808,885773,885808,0,5.000045839999984,1709.7269882570822,35,5,0.125,False,False,5.0,True
bt_mrv,40,202,1455110,1455079,1455110,0,5.000014664999981,2141.992038793043,32,8,0.2,False,False,5.0,True
bt_mrv,40,303,673189,673151,673189,0,5.000037968000015,1294.3245829073987,38,2,0.05,False,False,5.0,True
bt_mrv,40,404,362322,362285,362322,0,5.000031741999919,875.1339019747422,37,3,0.075,False,False,5.0,True
bt_mrv,40,505,307132,307094,307132,0,5.000011932000007,888.568991940251,39,1,0.025,False,False,5.0,True
bt_mrv,50,7,18,18,18,0,0.0010576229999514908,9282.48916066721,4,46,0.92,False,False,5.0,False
bt_mrv,50,13,1315601,1315567,1315601,0,5.000072196000019,3858.1828848828177,35,15,0.3,False,False,5.0,True
bt_mrv,50,42,290589,290543,290589,0,5.000109332999955,1546.012828677867,46,4,0.08,False,False,5.0,True
bt_mrv,50,101,752680,752637,752680,0,5.000197402999902,2397.7078788280874,44,6,0.12,False,False,5.0,True
bt_mrv,50,202,1008315,1008283,1008315,0,5.000062021000076,3987.0463358217753,33,17,0.34,False,False,5.0,True
bt_mrv,50,303,784668,784621,784668,0,5.000175265000053,1537.9947588134398,47,3,0.06,False,False,5.0,True
bt_mrv,50,404,278369,278325,278369,0,5.000019197000029,1405.8803928191653,44,6,0.12,False,False,5.0,True
bt_mrv,50,505,204373,204324,204373,0,5.000029912999935,1200.086464509525,49,1,0.02,False,False,5.0,True
bt_lcv,5,7,5,0,5,0,0.0003038360000573448,55.86020142324037,5,0,0.0,True,False,5.0,False
bt_lcv,5,13,5,0,5,0,0.0005511519998435688,115.11322892113736,5,0,0.0,True,False,5.0,False
bt_lcv,5,42,6,1,6,0,0.0005710700002055091,32.42229821110773,5,0,0.0,True,False,5.0,False
bt_lcv,5,101,1513,1513,1513,0,0.015022248999912335,427.36594898586844,3,2,0.4,False,False,5.0,False
bt_lcv,5,202,250680,250680,250680,0,2.4094305480000457,198.13913492161254,4,1,0.2,False,False,5.0,False
bt_lcv,5,303,6,1,6,0,0.0003432930000144552,25.233782554304653,5,0,0.0,True,False,5.0,False
bt_lcv,5,404,6,1,6,0,0.00020777200006705243,57.31784380968858,5,0,0.0,True,False,5.0,False
bt_lcv,5,505,6,1,6,0,0.0004731939998237067,39.645871797468104,5,0,0.0,True,False,5.0,False
bt_lcv,8,7,8,0,8,0,0.00037289300007614656,157.95189213861107,8,0,0.0,True,False,5.0,False
bt_lcv,8,13,9,1,9,0,0.0007469049999144772,229.46482325891554,8,0,0.0,True,False,5.0,False
bt_lcv,8,42,9,1,9,0,0.0011075449999680131,155.4306936331564,8,0,0.0,True,False,5.0,False
bt_lcv,8,101,91022,91022,91022,0,0.499243154999931,785.418313807762,5,3,0.375,False,False,5.0,False
bt_lcv,8,202,684203,684196,684203,0,5.000008780999906,355.7949188899488,7,1,0.125,False,False,5.0,True
bt_lcv,8,303,10,2,10,0,0.0009537790001559188,127.77318948353843,8,0,0.0,True,False,5.0,False
bt_lcv,8,404,10,2,10,0,0.0007717470000443427,57.94827176922091,8,0,0.0,True,False,5.0,False
bt_lcv,8,505,9,1,9,0,0.0010718529999849125,123.18175636089035,8,0,0.0,True,False,5.0,False
bt_lcv,10,7,10,0,10,0,0.000593172000208142,245.67237431223072,10,0,0.0,True,False,5.0,False
bt_lcv,10,13,11,1,11,0,0.0012935859999743116,301.629834078149,10,0,0.0,True,False,5.0,False
bt_lcv,10,42,322165,322156,322165,0,5.000009540000065,222.87012106372586,9,1,0.1,False,False,5.0,True
bt_lcv,10,101,638390,638383,638390,0,5.00000831400007,798.0632393562588,7,3,0.3,False,False,5.0,True
bt_lcv,10,202,578226,578218,578226,0,5.0000206080001135,551.1711212263267,8,2,0.2,False,False,5.0,True
bt_lcv,10,303,12,2,12,0,0.001252698000143937,141.44145472613005,10,0,0.0,True,False,5.0,False
bt_lcv,10,404,309651,309642,309651,0,5.000007255000128,210.54717079120016,9,1,0.1,False,False,5.0,True
bt_lcv,10,505,12,2,12,0,0.0014995090000411437,132.12447379130197,10,0,0.0,True,False,5.0,False
bt_lcv,12,7,13,1,13,0,0.0007916050001313124,255.12900249388753,12,0,0.0,True,False,5.0,False
bt_lcv,12,13,16,4,16,0,0.0016880570001376327,316.7231387807401,12,0,0.0,True,False,5.0,False
bt_lcv,12,42,536135,536124,536135,0,5.000014898000018,225.94307419595694,11,1,0.08333333333333333,False,False,5.0,True
bt_lcv,12,101,594557,594548,594557,0,5.000012366999954,808.5724191720064,9,3,0.25,False,False,5.0,True
bt_lcv,12,202,565948,565938,565948,0,5.00001343200006,622.7811459296843,10,2,0.16666666666666666,False,False,5.0,True
bt_lcv,12,303,16,4,16,0,0.001419508000026326,206.29222114079653,12,0,0.0,True,False,5.0,False
bt_lcv,12,404,506138,506127,506138,0,5.000006591000101,281.9965593259576,11,1,0.08333333333333333,False,False,5.0,True
bt_lcv,12,505,15,3,15,0,0.0017802150000534311,147.00877885734997,12,0,0.0,True,False,5.0,False
bt_lcv,15,7,17,2,17,0,0.0011823849999927916,317.17098446439945,15,0,0.0,True,False,5.0,False
bt_lcv,15,13,18,3,18,0,0.0026349269999172975,422.6341204551406,15,0,0.0,True,False,5.0,False
bt_lcv,15,42,445036,445022,445036,0,5.000013781999996,283.3940337988703,14,1,0.06666666666666667,False,False,5.0,True
bt_lcv,15,101,458660,458648,458660,0,5.000024411999902,859.8495927936132,12,3,0.2,False,False,5.0,True
bt_lcv,15,202,444849,444836,444849,0,5.000008525999874,659.9758952038871,13,2,0.13333333333333333,False,False,5.0,True
bt_lcv,15,303,20,5,20,0,0.0022963010001149087,228.30160098226645,15,0,0.0,True,False,5.0,False
bt_lcv,15,404,410801,410787,410801,0,5.000033235000046,294.48769029167295,14,1,0.06666666666666667,False,False,5.0,True
bt_lcv,15,505,27,12,27,0,0.0028093720002289047,160.28362754614952,15,0,0.0,True,False,5.0,False
bt_lcv,20,7,17545,17525,17545,0,0.12607020100040245,599.6990219899154,20,0,0.0,True,False,5.0,False
bt_lcv,20,13,214136,214119,214136,0,5.00000987500016,940.4905447350845,18,2,0.1,False,False,5.0,True
bt_lcv,20,42,315055,315038,315055,0,5.000013739000224,686.222516879398,18,2,0.1,False,False,5.0,True
bt_lcv,20,101,335324,335307,335324,0,5.0000285569999505,1031.0149173612228,17,3,0.15,False,False,5.0,True
bt_lcv,20,202,411181,411163,411181,0,5.000013548000425,785.7246472951011,18,2,0.1,False,False,5.0,True
bt_lcv,20,303,29,9,29,0,0.004667639000217605,346.03858506415037,20,0,0.0,True,False,5.0,False
bt_lcv,20,404,183746,183728,183746,0,5.000055401000282,491.16585021403597,18,2,0.1,False,False,5.0,True
bt_lcv,20,505,171555,171536,171555,0,5.000021536000077,429.06437140669425,19,1,0.05,False,False,5.0,True
bt_lcv,25,7,429467,429443,429467,0,5.000025060999633,1270.9297325316295,24,1,0.04,False,False,5.0,True
bt_lcv,25,13,280013,279990,280013,0,5.000041724999846,1220.8065953964547,23,2,0.08,False,False,5.0,True
bt_lcv,25,42,323296,323274,323296,0,5.000015198000256,960.6495894015349,22,3,0.12,False,False,5.0,True
